 x, y, z, s
   9.15606022     ,   2.15432262     ,   4.60640430     ,   9.50512314    
   9.13661861     ,   2.15281057     ,   4.58997011     ,   9.53062439    
   9.11712456     ,   2.15139532     ,   4.57359219     ,   9.55612469    
   9.09757710     ,   2.15007687     ,   4.55727148     ,   9.58162403    
   9.07797813     ,   2.14885473     ,   4.54100895     ,   9.60712051    
   9.05832672     ,   2.14772940     ,   4.52480412     ,   9.63261604    
   9.03862572     ,   2.14670014     ,   4.50865841     ,   9.65810871    
   9.01887512     ,   2.14576674     ,   4.49257278     ,   9.68359852    
   8.99907494     ,   2.14492941     ,   4.47654819     ,   9.70908451    
   8.97922707     ,   2.14418793     ,   4.46058416     ,   9.73456669    
   8.95933056     ,   2.14354181     ,   4.44468307     ,   9.76004410    
   8.93938732     ,   2.14299107     ,   4.42884445     ,   9.78551769    
   8.91939735     ,   2.14253545     ,   4.41306973     ,   9.81098652    
   8.89936256     ,   2.14217496     ,   4.39735937     ,   9.83644867    
   8.87928295     ,   2.14190912     ,   4.38171482     ,   9.86190510    
   8.85915947     ,   2.14173841     ,   4.36613560     ,   9.88735485    
